,importance
C_smm_G_API_alpha0.85_n5,0.2365768
G_API,0.09419716
aspect,0.07882617
DOY,0.07345416
s2_b8,0.06705728
C_smm_LST_modis_alpha0.85_n5,0.064247854
F_NDMI,0.04196039
D_z_F_NDMI,0.032404333
F_MSI,0.026941882
C_smm_F_NDMI_alpha0.85_n5,0.020580152
s1_vv,0.02054327
s1_vh,0.019296423
E_SAR_ratio,0.017736597
G_rain_sum_30d,0.017048514
G_rain_sum_3d,0.016414134
E_SAR_diff,0.01596845
D_sa_E_SAR_ratio,0.014529698
D_z_E_SAR_ratio,0.014385157
precip_mm,0.013854521
D_sa_F_NDMI,0.010300539
LST_modis,0.009881722
s2_b11,0.009102669
F_NDVI,0.008976739
s2_b12,0.008549664
G_rain_sum_7d,0.008467312
s2_b4,0.008431247
I_ts_spike_s1_vv,0.007579021
C_smm_E_SAR_ratio_alpha0.85_n5,0.007019569
G_DSLR,0.0068329335
V_rollstd_F_NDMI_kobs7,0.0055393954
D_z_LST_modis,0.0039356635
D_sa_LST_modis,0.0038695522
V_rollstd_E_SAR_ratio_kobs7,0.0035942183
V_rollstd_G_API_kobs7,0.003116049
V_rollstd_LST_modis_kobs7,0.0030242975
A_d_G_API_kobs1,0.002310747
A_d_LST_modis_kobs1,0.0012341582
A_d_F_NDMI_kobs1,0.0012179348
A_d_E_SAR_ratio_kobs1,0.000993576
G_DSLR_isnan,0.0
