feature,median_cluster0,median_cluster1,rank_biserial_r
soil_moisture_5cm,0.239,0.244,0.04
precip_mm,0.7,0.0,0.216
G_API,47.4587,14.9358,0.551
G_rain_sum_7d,30.1,9.5,0.424
LST_modis,280.9444,291.2417,-0.384
SMAP_sm_pm_interp,0.4141,0.1923,0.932
G_DSLR,0.0,1.0,-0.169
F_NDVI,0.532,0.3296,0.326
latitude,47.51,46.2333,0.642
longitude,-121.5343,-117.4,-1.0
elev,1205.0942,1160.5261,0.208
slope,18.1494,20.2254,0.112
J_soil_texture_usda_b0,7.0,7.0,0.398
J_lc_code,10.0,30.0,-0.55
J_bio_bio13,391.0,70.0,1.0
