family,ece_input,policy,deployable,rmse_mean,rmse_std,mae_mean,bias_mean,ubrmse_mean,r2_mean,pearson_mean,rmse_change_vs_as_routed,rmse_gap_vs_oracle_c0
Clustering_V0_Full_k2,v3,as_routed,True,0.165907783926229,0.0030507137273605156,0.13922560677997925,0.11772679030703534,0.11689895705660655,-11.438028719787535,-0.6696286801855045,0.0,0.10813968534953755
Clustering_V0_Full_k2,v3,soft_static,True,0.14173877495247766,0.0025946847579816318,0.12315845326104365,0.11558111171924126,0.08203830133644076,-8.078086912143476,-0.6854313379079506,-0.02416900897375135,0.0839706763757862
Clustering_V0_Full_k2,v3,auto_hard,True,0.05776809857669146,0.0006172983651717759,0.05016690337765757,0.02865443039742141,0.05015760910110736,-0.5077050469962214,0.10377562760870758,-0.10813968534953755,0.0
Clustering_V0_Full_k2,v3,auto_soft,True,0.05776814347892902,0.0006172994076705737,0.05016696153328317,0.028654526363132517,0.050157605994875065,-0.5077073910791958,0.1037755330105123,-0.10813964044729998,4.4902237560096037e-08
Clustering_V0_Full_k2,v3,auto_soft_T2,True,0.07121247767546446,0.0009386605780850974,0.06399534981483242,0.05114576758123472,0.04954794304438918,-1.2912534109656453,0.07772096321680491,-0.09469530625076455,0.013444379098772996
Clustering_V0_Full_k2,v3,auto_equal,True,0.11786600256360699,0.0021252251201330304,0.10800141411244853,0.10715233776278325,0.04909276539290232,-5.2775563802582734,-0.05076912817509449,-0.04804178136262202,0.06009790398691553
Clustering_V0_Full_k2,v3,c0_only,False,0.05776809857669146,0.0006172983651717759,0.05016690337765757,0.02865443039742141,0.05015760910110736,-0.5077050469962214,0.10377562760870758,-0.10813968534953755,0.0
Clustering_Backbone54_k2,v3,as_routed,True,0.16743117182311917,0.003401372491014965,0.147345612233095,0.141931749153207,0.08881580180136349,-11.668248354919394,-0.13849311803830427,0.0,0.10966307324642771
Clustering_Backbone54_k2,v3,soft_static,True,0.1516979184071596,0.002908806014652793,0.1318753170211866,0.12775515580845315,0.08179504776604378,-9.39890333626686,-0.3503653407385108,-0.015733253415959575,0.09392981983046814
Clustering_Backbone54_k2,v3,auto_hard,True,0.05776809857669146,0.0006172983651717759,0.05016690337765757,0.02865443039742141,0.05015760910110736,-0.5077050469962214,0.10377562760870758,-0.10966307324642771,0.0
Clustering_Backbone54_k2,v3,auto_soft,True,0.05776813210751132,0.0006172991436594516,0.05016694680548249,0.028654502060000177,0.050157606781522035,-0.5077067974438709,0.10377555696733538,-0.10966303971560785,3.35308198567974e-08
Clustering_Backbone54_k2,v3,auto_soft_T2,True,0.070726151998047,0.0009267169443933271,0.06356651171764079,0.05045150514631409,0.049563179071306813,-1.260061606255743,0.07865975226922049,-0.09670501982507218,0.012958053421355531
Clustering_Backbone54_k2,v3,auto_equal,True,0.11786600256360699,0.0021252251201330304,0.10800141411244853,0.10715233776278325,0.04909276539290232,-5.2775563802582734,-0.05076912817509449,-0.04956516925951218,0.06009790398691553
Clustering_Backbone54_k2,v3,c0_only,False,0.05776809857669146,0.0006172983651717759,0.05016690337765757,0.02865443039742141,0.05015760910110736,-0.5077050469962214,0.10377562760870758,-0.10966307324642771,0.0
