family,ece_input,policy,rmse_mean,rmse_std,mae_mean,bias_mean,ubrmse_mean,r2_mean,pearson_mean,rmse_change_vs_as_routed
Clustering_V0_Full_k2,zero,as_routed,0.11780452895306495,0.0012594713972126452,0.09383164921461504,0.07070253033247619,0.09422615800097285,-5.2699525862436385,-0.4867305848466136,0.0
Clustering_V0_Full_k2,zero,c0_only,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.06645976038312876
Clustering_V0_Full_k2,zero,c1_only,0.15561666497660137,0.0019814311440066725,0.14832334222204516,0.14832334222204516,0.04707616365939512,-9.94130445813406,0.1327995128751701,0.03781213602353642
Clustering_V0_Full_k2,zero,gapi_transplant,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.06645976038312876
Clustering_V0_Full_k2,zero,dynamic_transplant,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.06645976038312876
Clustering_V0_Full_k2,zero,seasonal,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.06645976038312876
Clustering_V0_Full_k2,zero,margin_fallback,0.053919654857739384,0.0009401137105936741,0.04595479731395949,0.015518262692362358,0.05160826026304577,-0.3137126594109304,0.04416873221809448,-0.06388487409532556
Clustering_Backbone54_k2,zero,as_routed,0.1458763234379274,0.0017449781395313983,0.13506682961669003,0.12770870407230683,0.0704996082174678,-8.6143494219756,-0.20598178088105018,0.0
Clustering_Backbone54_k2,zero,c0_only,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.0945315548679912
Clustering_Backbone54_k2,zero,c1_only,0.15561666497660137,0.0019814311440066725,0.14832334222204516,0.14832334222204516,0.04707616365939512,-9.94130445813406,0.1327995128751701,0.00974034153867398
Clustering_Backbone54_k2,zero,gapi_transplant,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.0945315548679912
Clustering_Backbone54_k2,zero,dynamic_transplant,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.0945315548679912
Clustering_Backbone54_k2,zero,seasonal,0.051344768569936194,0.0002146968052985727,0.04467381600313441,0.019797577021589168,0.04736562547120837,-0.190965135325838,0.1412162364294397,-0.0945315548679912
Clustering_Backbone54_k2,zero,margin_fallback,0.05612069390152741,0.0009200322119872878,0.04786746204208854,0.019253875243733613,0.0526871331393358,-0.4231150189872686,0.03842419366838347,-0.08975562953639998
Clustering_V0_Full_k2,native,as_routed,0.07543122597987047,0.0015014425436132108,0.06614953517371916,0.0541376259705129,0.05250729712346515,-1.5712276929401505,2.7189462859224418e-06,0.0
Clustering_V0_Full_k2,native,c0_only,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.006239070588628437
Clustering_V0_Full_k2,native,c1_only,0.18344885118757398,0.0034424063217524765,0.17678240195718437,0.17678240195718437,0.04899446506722941,-14.207327102592732,-0.14321896997195913,0.10801762520770351
Clustering_V0_Full_k2,native,gapi_transplant,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.006239070588628437
Clustering_V0_Full_k2,native,dynamic_transplant,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.006239070588628437
Clustering_V0_Full_k2,native,seasonal,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.006239070588628437
Clustering_V0_Full_k2,native,margin_fallback,0.05889426757331471,0.001081885994495065,0.05192877191600036,0.027806365507910942,0.05187388405076097,-0.5673422850445728,0.038320963641804665,-0.01653695840655576
Clustering_Backbone54_k2,native,as_routed,0.12792631335851679,0.0013333239524127537,0.10257076361219888,0.09126965857353835,0.08962387351727827,-6.393636260023953,-0.38279013669202266,0.0
Clustering_Backbone54_k2,native,c0_only,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.058734157967274755
Clustering_Backbone54_k2,native,c1_only,0.18344885118757398,0.0034424063217524765,0.17678240195718437,0.17678240195718437,0.04899446506722941,-14.207327102592732,-0.14321896997195913,0.055522537829057195
Clustering_Backbone54_k2,native,gapi_transplant,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.058734157967274755
Clustering_Backbone54_k2,native,dynamic_transplant,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.058734157967274755
Clustering_Backbone54_k2,native,seasonal,0.06919215539124203,0.0017040281776226258,0.0627013516173214,0.05068944241411516,0.04708037770289088,-1.163839097997278,0.13970310287813556,-0.058734157967274755
Clustering_Backbone54_k2,native,margin_fallback,0.058715006604176764,0.0009515609104524949,0.05201499154465229,0.027892585136562877,0.051633262996021535,-0.557722323916374,0.04078550918430548,-0.06921130675434002
