family,ece_input,policy,rmse_mean,rmse_std,mae_mean,bias_mean,ubrmse_mean,r2_mean,pearson_mean,rmse_change_vs_as_routed
Clustering_V0_Full_k2,v3,as_routed,0.16486678442568417,0.0018957537556809627,0.13854254936250704,0.11807991561101905,0.11505049449515652,-11.280409316343507,-0.6660474258033044,0.0
Clustering_V0_Full_k2,v3,c0_only,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10558053114093169
Clustering_V0_Full_k2,v3,c1_only,0.19106789962805182,0.002692586249805968,0.18413554793404568,0.18413554793404568,0.05099238277581568,-15.494722884786768,-0.48102450987879186,0.026201115202367647
Clustering_V0_Full_k2,v3,gapi_transplant,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10558053114093169
Clustering_V0_Full_k2,v3,dynamic_transplant,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10558053114093169
Clustering_V0_Full_k2,v3,seasonal,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10558053114093169
Clustering_V0_Full_k2,v3,margin_fallback,0.05852191785370191,0.0007276934443706202,0.05048586964261316,0.01584558129615614,0.05630492684523207,-0.547360081102051,-0.059557475487722666,-0.10634486657198226
Clustering_Backbone54_k2,v3,as_routed,0.1663408086556803,0.002169525108442649,0.14664362711870677,0.1417421630105081,0.08705167248807535,-11.501360737247392,-0.1338962632776817,0.0
Clustering_Backbone54_k2,v3,c0_only,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10705455537092781
Clustering_Backbone54_k2,v3,c1_only,0.19106789962805182,0.002692586249805968,0.18413554793404568,0.18413554793404568,0.05099238277581568,-15.494722884786768,-0.48102450987879186,0.024727090972371524
Clustering_Backbone54_k2,v3,gapi_transplant,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10705455537092781
Clustering_Backbone54_k2,v3,dynamic_transplant,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10705455537092781
Clustering_Backbone54_k2,v3,seasonal,0.059286253284752476,0.0008815222141986066,0.05144801756492543,0.030983155119488924,0.050514614362940115,-0.5881275800211503,0.10707818013604839,-0.10705455537092781
Clustering_Backbone54_k2,v3,margin_fallback,0.05852191785370191,0.0007276934443706202,0.05048586964261316,0.01584558129615614,0.05630492684523207,-0.547360081102051,-0.059557475487722666,-0.10781889080197839
Global_Single_54,v3,direct,0.05852191785370191,0.0007276934443706202,0.05048586964261316,0.01584558129615614,0.05630492684523207,-0.547360081102051,-0.059557475487722666,
Global_Single_50,v3,direct,0.0533278286121495,0.0004876492238850614,0.042790735885152906,0.013451986678511194,0.051601010981522845,-0.28480561045770814,-0.04111388072226053,
