family,policy_id,semantic_label,family_local_expert_index,dry_assigned_local_expert_index,complementary_local_expert_index,oracle_label_source,wa_canonical_feature_for_ordering,wa_canonical_smap_mean_local_c0,wa_canonical_smap_mean_local_c1,wa_target_mean_local_c0,wa_target_mean_local_c1,wa_canonical_feature_drier_index,dry_assignment_matches_canonical_feature_minimum,gapi_class_0_local_expert,gapi_class_1_local_expert,gapi_mapping_source,gapi_selected_masked_wa_val_rmse,deployable,ece_used_for_mapping_or_calibration
Clustering_V0_Full_k2,as_routed,static router prediction,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,True,False
Clustering_V0_Full_k2,auto_hard,WA-calibrated availability-gated G_API route,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,True,False
Clustering_V0_Full_k2,auto_soft,WA-calibrated availability-gated G_API blend,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,True,False
Clustering_V0_Full_k2,c0_only,manual dry-assigned oracle under family convention,0.0,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,False,False
Clustering_V0_Full_k2,c1_only,complementary local-expert diagnostic under family convention,1.0,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,False,False
Clustering_Backbone54_k2,as_routed,static router prediction,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,True,False
Clustering_Backbone54_k2,auto_hard,WA-calibrated availability-gated G_API route,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,True,False
Clustering_Backbone54_k2,auto_soft,WA-calibrated availability-gated G_API blend,,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,True,False
Clustering_Backbone54_k2,c0_only,manual dry-assigned oracle under family convention,0.0,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,False,False
Clustering_Backbone54_k2,c1_only,complementary local-expert diagnostic under family convention,1.0,0.0,1.0,derived_8.4-ece-router-salvage-2.0 c0=dry convention,SMAP_sm_pm_interp_rollmean30,0.43598074953187127,0.18007780263258694,0.2216475903614458,0.20937324297188756,1.0,False,0.0,1.0,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,False,False
