station_id,date,n_samples,n_hours,meets_18h
ECE_BBG_Lost_Meadow,2026-07-22,465,24,True
ECE_BBG_Main_St,2026-07-22,408,24,True
ECE_Renton_Garden_North,2026-07-22,445,24,True
ECE_Renton_Garden_Shed,2026-07-22,235,22,True
ECE_Renton_Home,2026-07-22,436,24,True
ECE_BBG_Lost_Meadow,2026-07-23,456,24,True
ECE_BBG_Main_St,2026-07-23,422,24,True
ECE_Renton_Garden_North,2026-07-23,403,24,True
ECE_Renton_Garden_Shed,2026-07-23,242,24,True
ECE_Renton_Home,2026-07-23,405,24,True
ECE_BBG_Lost_Meadow,2026-07-25,437,24,True
ECE_BBG_Main_St,2026-07-25,437,24,True
ECE_Renton_Garden_North,2026-07-25,422,24,True
ECE_Renton_Garden_Shed,2026-07-25,222,24,True
ECE_Renton_Home,2026-07-25,409,24,True
ECE_BBG_Lost_Meadow,2026-07-26,434,24,True
ECE_BBG_Main_St,2026-07-26,418,24,True
ECE_Renton_Garden_North,2026-07-26,443,24,True
ECE_Renton_Garden_Shed,2026-07-26,247,23,True
ECE_Renton_Home,2026-07-26,375,23,True
ECE_BBG_Lost_Meadow,2026-07-27,451,24,True
ECE_BBG_Main_St,2026-07-27,419,24,True
ECE_Renton_Garden_North,2026-07-27,424,24,True
ECE_Renton_Garden_Shed,2026-07-27,275,24,True
ECE_Renton_Home,2026-07-27,409,24,True
ECE_BBG_Lost_Meadow,2026-08-02,420,24,True
ECE_BBG_Main_St,2026-08-02,431,24,True
ECE_Renton_Garden_North,2026-08-02,510,24,True
ECE_Renton_Garden_Shed,2026-08-02,324,24,True
ECE_Renton_Home,2026-08-02,384,24,True
ECE_BBG_Lost_Meadow,2026-08-03,299,24,True
ECE_BBG_Main_St,2026-08-03,474,24,True
ECE_Renton_Garden_North,2026-08-03,432,24,True
ECE_Renton_Garden_Shed,2026-08-03,284,24,True
ECE_Renton_Home,2026-08-03,424,24,True
